metric,value,source,classification
FY2026 Revenue,"₹6,813 crore",Laurus Labs FY2025-26 Integrated Annual Report,Fact
FY2026 EBITDA,"₹1,826 crore",Laurus Labs FY2025-26 Integrated Annual Report,Fact
FY2026 EBITDA margin,26.8%,Laurus Labs FY2025-26 Integrated Annual Report,Fact
FY2026 PAT,₹889 crore,Laurus Labs FY2025-26 Integrated Annual Report,Fact
FY2026 Operating Cash Flow,"₹1,624 crore",Laurus Labs FY2025-26 Integrated Annual Report,Fact
FY2026 CapEx,"₹1,070 crore",Laurus Labs FY2025-26 Integrated Annual Report,Fact
Revenue growth FY27,10%,Analyst assumption,Assumption
EBITDA margin FY27,27%,Analyst assumption,Assumption
DSO,110 days,Analyst assumption,Assumption
Inventory days,125 days,Analyst assumption,Assumption
DPO,60 days,Analyst assumption,Assumption
CapEx / Revenue,12%,Analyst assumption,Assumption
